coding	col	lang	ref	ref_bib	corr	perfect	corr_col	corr_ref	corr_bib	corr_page	comment
		Agul			Mixed	yes	snow3	(Maisak & Merdanova 2002)	maisakmerdanova2002		
		Akhvakh			Mixed	yes	snow3	(Creissels 2009; 2018: 170), (Magomedbekova 1967: 107), (Daniel & Maisak 2018)	creissels2008; creissels2018; magomedbekova1967; danielmaisak2018	NA; 170; 107; NA	
		Andi			Mixed	yes	snow3	(Cercvadze 1965: 359), (Kibrik 1985), (Maisak 2017), (Fieldwork), (Daniel & Maisak 2018)	cercvadze1965; kibrik1985; maisak2017; danielmaisak2018	359; NA; NA; NA	
Verbal affix or clitic	orchid1	Archi	(Kibrik 1994)	kibrik1994	Mixed	yes	snow3	(Kibrik 1977: 87-89, 228-244)	kibrik1977	87-89, 228-244	
		Avar			Mixed	yes	snow3	(Mallaeva 2007: 196-206, 213-215), (Forker 2018)	mallaeva2007; forker2018avar	196-206, 213-215; NA	
		Bagvalal			Mixed	yes	snow3	(Maisak & Tatevosov 2001: 293-307), (Maisak & Chumakina 2001: 723-724)	maisaktatevosov2001; maisakchumakina2001	293-307; 723-724	
Mixed	snow3	Bats	(Holisky and Gagua 1994)	holiskygagua1994	Part of the tense system	yes	red3	(Holisky & Gagua 1994: 26-27; 31-32)	holiskygagua1994	26-27; 31-32	Language also called Tsova-Tush, Batsbi.
		Bezhta			Mixed	yes	snow3	(Khalilova 2011)	khalilova2011	NA	
		Botlikh			Mixed	yes	snow3	(Gudava 1962: 260), (Alekseev & Verhees To appear)	gudava1962; alexeyevverhees2020	260; NA	
No grammatical evidentials	white	Budukh	(Alekseev 1994a)	alekseev1994budukh	No grammatical evidentials	no	white	(Talibov 2007: 157-232, 246-248)	talibov2007	157-232, 246-248	
		Chamalal			Mixed	yes	snow3	(Bokarev 1949: 87-89, 113-114)	bokarev1949chamalal	87-89, 113-114	
Part of the tense system	red3	Chechen	(Nichols 1994a)	nichols1994chechen	Part of the tense system	no	red3	(Molochieva 2007; 2010)	molochieva2007; molochieva2010	NA; NA	
		Dargwa			Part of the tense system	yes	red3	(Mutalov 2002: 107, 145-150), (van den Berg 2001), (Musaev 2002)	mutalov2000; vandenberg2001; musaev2002	107, 145-150; NA; NA	Individual Dargwa lects feature clitics. Perhaps a descriptive gap.
Part of the tense system	red3	Godoberi	(Kibrik 1996)		Mixed	yes	snow3	(Dobrushina & Tatevosov 1996: 95-96), (Haspelmath 1996: 181-186)	dobrushinatatevosov1996; haspelmath1996	95-96; 181-186	
		Hinuq			Mixed	yes	snow3	(Forker 2014), (Forker 2013: 596-599)	forker2014; forker2013	NA; 596-599	
Part of the tense system	red3	Hunzib	(van den Berg 1995)	vandenberg1995	Part of the tense system	yes	red3	(Khalilova 2011), (van den Berg 1995)	khalilova2011; vandenberg1995		
Part of the tense system	red3	Ingush	(Nichols 1994b)	nichols1994ingush	Part of the tense system	yes	red3	(Nichols 2011: 249-250, 254-257, 279)	nichols2011	249-250, 254-257, 279	
		Khwarshi			Mixed	yes	snow3	(Khalilova 2009: 221, 234-239; 2011)	khalilova2009; khalilova2011	221, 234-239; NA	Data from Inkhoqwari.
		Karata			Mixed	yes	snow3	(Magomedbekova 1971: 130-131, 173-174)	magomedbekova1971	130-131, 173-174	
		Khinalug			No grammatical evidentials	no	white	(Kibrik et al. 1972: 178)	kibriketal1972	178	
		Kryz			Verbal affix or clitic	no	orchid1	(Authier 2009: 255-257)	authier2009	255-257	
No grammatical evidentials	white	Lak	(Murkelinskij 1967)	murkelinskij1967	Mixed	yes	snow3	(Friedman 2007: 360-367)	friedman2007	360-367	
Verbal affix or clitic	orchid1	Lezgian	(Haspelmath 1993)	haspelmath1993	Verbal affix or clitic	no	orchid1	(Haspelmath 1993: 122-162)	haspelmath1993	122-162	
Verbal affix or clitic	orchid1	Rutul	(Alekseev 1994b)	alekseev1994rutul	Verbal affix or clitic	no	orchid1	(Alekseev 1994: 230-235, 237), (Maxmudova 2002: 145-184, 236-243)	alekseev1994rutul; maxmudova2002	230-235, 237; 145-148, 236-243	
		Tabasaran			No grammatical evidentials	no	white	(Magometov 1965: 189-319, 340-341)	magometov1965	189-319, 340-341	
		Tindi			Part of the tense system	yes	red3	(Magomedova 2003: 563-564, 579)	magomedova2003	563-564, 579	
		Tsakhur			Part of the tense system	yes	red3	(Maisak & Tatevosov 2007; 1999: 289-291)	maisaktatevosov2007; maisaktatevosov1999	289-291	
		Tsez			Mixed	yes	snow3	(Khalilova 2011)	khalilova2011	NA	
		Udi			No grammatical evidentials	no	white	(Schulze 1982), (Maisak 2016), (Maisak 2018)	schulze1982; maisak2016; maisak2018	NA; NA; NA	
		Kumyk			Part of the tense system	yes	red3	(Johanson 2018), (Abdullaeva et al. 2014)	johanson2018; abdullaevaetal2014	NA; NA	
		Nogai			Part of the tense system	yes	red3	(Johanson 2018), (Baskakov 1940)	johanson2018; baskakov1940	NA; NA	
		Azerbaijani			Part of the tense system	no	red3	(Shiraliev & Sevortyan 1971), (Johanson 2018)	shiralievsevortyan1971; johanson2018	NA; NA	
