system	system_color	perfect	lang	datapoint	lat	lon	group	ref	source
mixed	snow3	yes	Akhvakh	glot_Akhvakh	42.40035	46.30369	Andic	Creissels (2008; 2018: 170), Magomedbekova (1967: 107), Daniel & Maisak (2018)	
mixed	snow3	yes	Andi	glot_Andi	42.80785	46.29187	Andic	Cercvadze (1965: 359), Kibrik (1985), Maisak (2017), fieldwork, Daniel & Maisak (2018)	
mixed	snow3	yes	Bagvalal	glot_Bagvalal	42.39664	46.1041	Andic	Maisak & Tatevosov (2001: 293-307), Maisak & Chumakina (2001: 723-724)	
mixed	snow3	yes	Botlikh	glot_Botlikh	42.665	46.22	Andic	Gudava (1962: 260), Alekseev & Verhees (To appear)	
mixed	snow3	yes	Chamalal	glot_Chamalal	42.50239	45.99496	Andic	Bokarev (1949: 87-89, 113-114)	
verb tense	red3	yes	Godoberi	glot_Godoberi	42.74276	46.22524	Andic	Dobrushina & Tatevosov (1996: 95-96), Haspelmath (1996: 181-186)	
mixed	snow3	yes	Karata	glot_Karata	42.65005	46.31511	Andic	Magomedbekova (1971: 130-131, 173-174)	
verb tense	red3	yes	Tindi	glot_Tindi	42.33164	45.92268	Andic	Magomedova (2003: 563-564, 579)	
mixed	snow3	yes	Avar	glot_Avar	42.43056	46.66639	Avar	Mallaeva (2007: 196-206, 213-215), Forker (2018)	
verb tense	red3	yes	Dargwa	glot_Dargwa	42.42568	47.43876	Dargwa	Mutalov (2002: 107, 145-150), van den Berg (2001), Musaev (2002)	
no	white	no	Khinalugh	glot_Khinalugh	41.18014	48.05714	Khinalugh	Kibrik et al. (1972: 178)	
mixed	snow3	yes	Lak	glot_Lak	42.13275	47.0809	Lak	Friedman (2007: 360-367)	
mixed	snow3	yes	Aghul	glot_Aghul	41.92418	47.58429	Lezgic	Maisak & Merdanova (2002)	
mixed	snow3	yes	Archi	glot_Archi	42.0664	46.8678	Lezgic	Kibrik (1977: 87-89, 228-244)	
no	white	no	Budukh	glot_Budukh	41.22722	48.33533	Lezgic	Talibov (2007: 157-232, 246-248)	
verb particle	orchid1	no	Kryz	glot_Kryz	41.18107	48.18457	Lezgic	Authier (2009: 255-257)	
verb particle	orchid1	no	Lezgian	glot_Lezgian	41.51572	47.89507	Lezgic	Haspelmath (1993: 122-162)	
verb particle	orchid1	no	Rutul	glot_Rutul	41.61866	47.32436	Lezgic	Alekseev (1994: 230-235, 237), Maxmudova (2002: 145-184, 236-243)	
no	white	no	Tabasaran	glot_Tabasaran	42.01976	47.83791	Lezgic	Magometov (1965: 189-319, 340-341)	
verb tense	red3	yes	Tsakhur	glot_Tsakhur	41.59156	46.88585	Lezgic	Maisak & Tatevosov (2007; 1999: 289-291)	
no	white	no	Udi	glot_Udi	40.9	47.7236	Lezgic	Schulze (1982), Maisak (2016), Maisak (2018)	
verb tense	red3	yes	Bats	glot_Bats	42.1806	45.34397	Nakh	Holisky & Gagua (1994: 26-27; 31-32)	
verb tense	red3	no	Chechen	glot_Chechen	43.5	45.5	Nakh	Molochieva (2007; 2010), Maciev (1961)	
verb tense	red3	yes	Ingush	glot_Ingush	43.16667	44.81667	Nakh	Nichols (2011: 249-250, 254-257, 279)	
mixed	snow3	yes	Bezhta	glot_Bezhta	42.1206	46.03319	Tsezic	Khalilova (2011)	
mixed	snow3	yes	Hinuq	glot_Hinuq	42.45022	45.80638	Tsezic	Forker (2014), Forker (2013: 596-599)	
verb tense	red3	yes	Hunzib	glot_Hunzib	42.08076	46.13691	Tsezic	Khalilova (2011), van den Berg (1995)	
verb tense	red3	yes	Xvarshi	glot_Inkhoqwari	42.410888	46.044877	Tsezic	Khalilova (2009: 221, 234-239; 2011)	
mixed	snow3	yes	Tsez	glot_Tsez	42.26458	45.80959	Tsezic	Khalilova (2011)	
